og_species,og_family,og_longevity,SE_long,Quality,Site,Lat,Lon,alt_m,Habitat,reference,Exotic,self_incom,Nectar,notes,longev_univisit,long_unv_SE,Duration,sources,mean_long_days,og_species_patch,sym_RS_scored,Overall_score,Taxonomic_status,Accepted_name,Accepted_name_rank,Accepted_family,Accepted_genus,sym_sspvar,sym_species,sym_genus,sym_family
Acosmium.dasycarpum,Fabaceae,1,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,SI,1,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Acosmium dasycarpum,NA,1,Synonym,Leptolobium dasycarpum,species,Fabaceae,Leptolobium,NA,NA,actinomorphic,actinomorphic zygomorphic
Acourtia.runcinata,Asteraceae,5,NA,NA,NA,NA,NA,NA,NA,Cabrera & Dieringer (1992). Am. Midl. Nat. 128: 83-88.,NA,NA,NA,Capitulum: longevity for the single floret.,NA,NA,NA,marcoshighquality,5,Acourtia runcinata,NA,1,Accepted,Acourtia runcinata,species,Asteraceae,Acourtia,NA,actinomorphic,actinomorphic,actinomorphic zygomorphic
Adansonia.digitata,Malvaceae,1,NA,NA,Kenia,NA,NA,NA,NA,Baum (1995). Ann. MO Bot. Gard. 82: 322-348.,NA,NA,1,Nov-Dec.,NA,NA,NA,marcoshighquality,1,Adansonia digitata,NA,1,Accepted,Adansonia digitata,species,Malvaceae,Adansonia,NA,actinomorphic,actinomorphic,actinomorphic zygomorphic
Adansonia.gibbosa,Malvaceae,2 to 4,NA,NA,"Three sites in Crossing and Derby, WA (Australia)",NA,NA,NA,NA,Baum (1995). Ann. MO Bot. Gard. 82: 322-348.,NA,SI,1,Nov-Jan.,NA,NA,NA,marcoshighquality,3,Adansonia gibbosa,NA,1,Synonym,Adansonia gregorii,species,Malvaceae,Adansonia,NA,actinomorphic,actinomorphic,actinomorphic zygomorphic
Adansonia.grandidieri,Malvaceae,2.5 to 4,NA,NA,"Marofandelia, Morondava (Madagascar)",-20.22,44.54,NA,NA,Baum (1995). Ann. MO Bot. Gard. 82: 322-348.,NA,NA,1,Jun-Aug.,NA,NA,NA,marcoshighquality,3.25,Adansonia grandidieri,NA,1,Accepted,Adansonia grandidieri,species,Malvaceae,Adansonia,NA,NA,actinomorphic,actinomorphic zygomorphic
Adansonia.madagascariensis,Malvaceae,3 to 4,NA,NA,"Montagnes de Français, Antsiranana (Madagascar)",-12.327,49.4,NA,NA,Baum (1995). Ann. MO Bot. Gard. 82: 322-348.,NA,NA,1,Mar-Apr.,NA,NA,NA,marcoshighquality,3.5,Adansonia madagascariensis,NA,1,Accepted,Adansonia madagascariensis,species,Malvaceae,Adansonia,NA,NA,actinomorphic,actinomorphic zygomorphic
Adansonia.perrieri,Malvaceae,2 to 3,NA,NA,Montagne d'Ambre near Antsiranana (Madagascar),-12.559,49.2,NA,NA,Baum (1995). Ann. MO Bot. Gard. 82: 322-348.,NA,NA,1,Nov-Dec.,NA,NA,NA,marcoshighquality,2.5,Adansonia perrieri,NA,1,Accepted,Adansonia perrieri,species,Malvaceae,Adansonia,NA,NA,actinomorphic,actinomorphic zygomorphic
Adansonia.rubrostipa,Malvaceae,1.5 to 3,NA,NA,"Kirindi Forest, Morondava (Madagascar)",-20.06,44.67,NA,NA,Baum (1995). Ann. MO Bot. Gard. 82: 322-348.,NA,NA,1,Feb-Mar.,NA,NA,NA,marcoshighquality,2.25,Adansonia rubrostipa,NA,1,Synonym,Adansonia fony var. rubrostipa,variety,Malvaceae,Adansonia,NA,NA,actinomorphic,actinomorphic zygomorphic
Adansonia.suarecensis,Malvaceae,0.5 to 3,NA,NA,Antsiranana (Madagascar),-12.365,49.23666667,NA,NA,Baum (1995). Ann. MO Bot. Gard. 82: 322-348.,NA,NA,1,May-Jun. Coordinates are the average of the three sites.,NA,NA,NA,marcoshighquality,1.75,Adansonia suarecensis,NA,0.98599670627294,Accepted,Adansonia suarezensis,species,Malvaceae,Adansonia,NA,NA,actinomorphic,actinomorphic zygomorphic
Adansonia.za,Malvaceae,1,NA,NA,"Kirindi Forest, Morondava (Madagascar)",-20.06,44.67,NA,NA,Baum (1995). Ann. MO Bot. Gard. 82: 322-348.,NA,NA,1,"Nov-Jan. Coordinates from Kirindi Forest, from where sample dates allow to estimate floral longevity.",NA,NA,NA,marcoshighquality,1,Adansonia za,NA,1,Accepted,Adansonia za,species,Malvaceae,Adansonia,NA,NA,actinomorphic,actinomorphic zygomorphic
Adenophora.capillaris,Campanulaceae,6,NA,NA,"Shangri-La Alpine BG, Yunnan (China)",27.90638889,99.64166667,3200,Alpine meadow,Liu & Huang (2013). Oecologia 173: 1411-1423.,NA,SC Xen,1,late Jun-early Sep.,NA,NA,NA,marcoshighquality,6,Adenophora capillaris,NA,1,Accepted,Adenophora capillaris,species,Campanulaceae,Adenophora,NA,NA,actinomorphic,actinomorphic zygomorphic
Adenophora.jasionifolia,Campanulaceae,3.5,NA,NA,"Shangri-La Alpine BG, Yunnan (China)",27.90638889,99.64166667,3200,Alpine meadow,Liu & Huang (2013). Oecologia 173: 1411-1423.,NA,SC Xen,1,late Jun-early Sep.,NA,NA,NA,marcoshighquality,3.5,Adenophora jasionifolia,NA,1,Accepted,Adenophora jasionifolia,species,Campanulaceae,Adenophora,NA,NA,actinomorphic,actinomorphic zygomorphic
Adenophora.khasiana,Campanulaceae,5,NA,NA,"Shangri-La Alpine BG, Yunnan (China)",27.90638889,99.64166667,3200,Alpine meadow,Liu & Huang (2013). Oecologia 173: 1411-1423.,NA,SC Xen,1,late Jun-early Sep.,NA,NA,NA,marcoshighquality,5,Adenophora khasiana,NA,1,Accepted,Adenophora khasiana,species,Campanulaceae,Adenophora,NA,NA,actinomorphic,actinomorphic zygomorphic
Adenophora.triphylla.var.japonica,Campanulaceae,3 to 5,NA,NA,Sudagaira Mountain RC (Japan),36.51666667,138.3333333,1300,Temperate meadow,Funamoto & Ohashi (2017). Plant Biol 19: 767-774.,NA,NA,NA,NA,NA,NA,Open at dusk,marcoshighquality,4,Adenophora triphylla var japonica,NA,1,Accepted,Adenophora triphylla var. japonica,variety,Campanulaceae,Adenophora,NA,NA,actinomorphic,actinomorphic zygomorphic
Adonis.ramosa,Ranunculaceae,13.3,NA,1,"Forestry and Forest Products Research Inst. experimental forest, Hokkaido (Japan)",42.96666667,141.3833333,140,Temperate forest,Kudo (1995). Oikos 72: 14-20.,NA,SC,0,Apr.,NA,NA,NA,marcoshighquality,13.3,Adonis ramosa,NA,1,Accepted,Adonis ramosa,species,Ranunculaceae,Adonis,NA,NA,actinomorphic,actinomorphic zygomorphic
Aechmea.lasseri,Bromeliaceae,17 to 19 h,NA,1,PN Henri Pittier (Venezuela),10.35,-67.68333333,1000 to 1400,Cloud forest,Seres & Ramírez (1995). Ann. MO Bot. Gard. 82: 61-81.,NA,SI,1,"Maximum longevity given. Dec-Jun (from Seres & Ramírez, 1993). Mating system from Ramírez & Seres (1994).",NA,NA,NA,marcoshighquality,0.75,Aechmea lasseri,NA,1,Accepted,Aechmea lasseri,species,Bromeliaceae,Aechmea,NA,NA,actinomorphic zygomorphic,actinomorphic zygomorphic
Aechmea.mariae-reginae,Bromeliaceae,0.5,NA,NA,Cerros La Carpintera (Costa Rica),9.888888889,-83.96944444,1600 to 1800,Cool montane humid forest,Cascante-Marín et al. (2020). Bot. J. Linn. Soc. 192: 773-786.,NA,NA,1,May-June. D species. Data are valid for both sexes.,NA,NA,Open before dawn,marcoshighquality,0.5,Aechmea mariae-reginae,NA,1,Accepted,Aechmea mariae-reginae,species,Bromeliaceae,Aechmea,NA,NA,actinomorphic zygomorphic,actinomorphic zygomorphic
Aechmea.pectinata,Bromeliaceae,0.541666667,NA,NA,"PE Serra do Mar, Sao Paulo (Brazil)",-23.36666667,-44.83333333,sea level,Atlantic forest,Canela & Sazima (2003). Ann. Bot. 92: 731-737.,NA,SI,1,Late Oct-mid Jan. Effective corolla length.,NA,NA,Open before dawn,marcoshighquality,0.541666667,Aechmea pectinata,NA,1,Accepted,Aechmea pectinata,species,Bromeliaceae,Aechmea,NA,NA,actinomorphic zygomorphic,actinomorphic zygomorphic
Aechmea.vanhoutteana,Bromeliaceae,0.375,NA,NA,"Itatiaia NP, Rio de Janeiro-Minas Gerais (Brazil)",NA,NA,NA,Montane tropical rainforest,Zambon et al. (2020). Bot. J. Linn. Soc. 192: 803-815.,NA,NA,1,NA,NA,NA,Open at dawn,marcoshighquality,0.375,Aechmea vanhoutteana,NA,1,Accepted,Aechmea vanhoutteana,species,Bromeliaceae,Aechmea,NA,actinomorphic,actinomorphic zygomorphic,actinomorphic zygomorphic
Agalinis.auriculata,Orobanchaceae,4 to 5 h,NA,1,"Maryville, MO (USA)",40.43053333,-94.85709444,NA,Prairie,Dieringer & Cabrera R. (2022). Int. J. Linn. Soc. 183: 719-728.,NA,SC Xen,0,NA,NA,NA,Open at 0700 to 0930,marcoshighquality,0.1875,Agalinis auriculata,NA,1,Accepted,Agalinis auriculata,species,Orobanchaceae,Agalinis,NA,zygomorphic,zygomorphic,actinomorphic zygomorphic
Agarista.revoluta,Ericaceae,4,NA,NA,"EPA of Maricá, Rio de Janeiro (Brazil)",-22.95,-42.85833333,NA,Restinga,Moreira et al. (2017). Flora 234: 7-14.,NA,NA,NA,Corolla dimensions are provided.,NA,NA,NA,marcoshighquality,4,Agarista revoluta,NA,1,Accepted,Agarista revoluta,species,Ericaceae,Agarista,NA,NA,actinomorphic,actinomorphic zygomorphic
Agave.macroacantha,Asparagaceae,5.712916667,0.354583333,NA,"Zapotitlán de las Salinas, Puebla (Mexico)",18.33333333,-97.46666667,NA,Desert,Arizaga et al. (2000). Amer. J. Bot. 87: 1004-1010.,NA,SI,1,May-Jul.,NA,NA,NA,marcoshighquality,5.712916667,Agave macroacantha,NA,1,Accepted,Agave macroacantha,species,Asparagaceae,Agave,NA,NA,actinomorphic,actinomorphic zygomorphic
Ajuga.chamaepitys,Lamiaceae,2 to 3,NA,NA,"University of Córdoba, Córdoba(Spain)",NA,NA,NA,Greenhouse,Ruiz de Clavijo (1995). Int. J. Plant Sci. 158: 282-291.,NA,SC,0,"Dec-Feb, Apr-Jun (different cohorts).",NA,NA,NA,marcoshighquality,2.5,Ajuga chamaepitys,NA,1,Accepted,Ajuga chamaepitys,species,Lamiaceae,Ajuga,NA,zygomorphic,zygomorphic,actinomorphic zygomorphic
Ajuga.iva,Lamiaceae,2 to 6,NA,NA,"University of Córdoba, Córdoba(Spain)",NA,NA,NA,Greenhouse,Ruiz de Clavijo (1995). Int. J. Plant Sci. 158: 282-291.,NA,SC,0,Late May-Jul.,NA,NA,NA,marcoshighquality,4,Ajuga iva,NA,1,Accepted,Ajuga iva,species,Lamiaceae,Ajuga,NA,zygomorphic,zygomorphic,actinomorphic zygomorphic
Alcea.pallida(=A.biennis),Malvaceae,3.5,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,3.5,Alcea biennis,NA,1,Accepted,Alcea biennis,species,Malvaceae,Alcea,NA,actinomorphic,actinomorphic,actinomorphic zygomorphic
Alkanna.tinctoria,Boraginaceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Alkanna tinctoria,NA,1,Accepted,Alkanna tinctoria,species,Boraginaceae,Alkanna,NA,actinomorphic,actinomorphic,actinomorphic zygomorphic
Allium.neapolitanum,Amaryllidaceae,2.6,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2.6,Allium neapolitanum,NA,1,Accepted,Allium neapolitanum,species,Amaryllidaceae,Allium,NA,actinomorphic,actinomorphic,actinomorphic zygomorphic
Allium.subhirsutum,Amaryllidaceae,3.9,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,3.9,Allium subhirsutum,NA,1,Accepted,Allium subhirsutum,species,Amaryllidaceae,Allium,NA,actinomorphic,actinomorphic,actinomorphic zygomorphic
Alstroemeria.aurea,Alstroemeriaceae,8.9,0.11817579,NA,"Otto, Nahuel Huapi NP (Argentina)",-41.13333333,-71.31666667,NA,Temperate forest,Aizén & Basilio (1995). Can. J. Bot. 73: 1986-1994.,NA,SC Xen,1,NA,NA,NA,Neuter phase between male and female phase,marcoshighquality marcoshighquality,8.9,Alstroemeria aurea,NA,1,Accepted,Alstroemeria aurea,species,Alstroemeriaceae,Alstroemeria,NA,actinomorphic zygomorphic,actinomorphic zygomorphic,actinomorphic zygomorphic
Alstroemeria.aurea,Alstroemeriaceae,7.8,0.101036297,NA,"Challhualco, Nahuel Huapi NP (Argentina)",-41.13333333,-71.31666667,NA,Temperate forest,Aizén & Basilio (1995). Can. J. Bot. 73: 1986-1994.,NA,NA,NA,NA,NA,NA,Neuter phase between male and female phase,marcoshighquality marcoshighquality,7.8,Alstroemeria aurea,NA,1,Accepted,Alstroemeria aurea,species,Alstroemeriaceae,Alstroemeria,NA,actinomorphic zygomorphic,actinomorphic zygomorphic,actinomorphic zygomorphic
Alstroemeria.umbellata,Alstroemeriaceae,9.2,0.213200716,3,Valle Nevado (Chile),-33.36037778,-70.25871389,2700,"Scree slopes, alpine",Arroyo et al. (In press). Alp. Bot. 132,NA,SC,1,NA,NA,NA,NA,marcoshighquality,9.2,Alstroemeria umbellata,NA,1,Accepted,Alstroemeria umbellata,species,Alstroemeriaceae,Alstroemeria,NA,NA,actinomorphic zygomorphic,actinomorphic zygomorphic
Alternanthera.ficoidea,Amaranthaceae,1,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Alternanthera ficoidea,NA,1,Accepted,Alternanthera ficoidea,species,Amaranthaceae,Alternanthera,NA,actinomorphic,actinomorphic,actinomorphic
Alysicarpus.vaginalis,Fabaceae,1,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,0,Width of the standard and length of the keel are provided.,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Alysicarpus vaginalis,NA,1,Accepted,Alysicarpus vaginalis,species,Fabaceae,Alysicarpus,NA,NA,zygomorphic,actinomorphic zygomorphic
Amborella.trichopoda,Amborellaceae,4 to 5,NA,NA,Col d'Amieu (New Caledonia),NA,NA,500 to 800,Rain forest,Thien et al. (2003). Ann. MO Bot. Gard. 90: 466-490.,NA,NA,0,Nov-Apr. D species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality,4.5,Amborella trichopoda,NA,1,Accepted,Amborella trichopoda,species,Amborellaceae,Amborella,NA,actinomorphic,actinomorphic,actinomorphic
Amborella.trichopoda,Amborellaceae,1 to 2.8,NA,NA,NA,NA,NA,NA,NA,Thien et al. (2003). Ann. MO Bot. Gard. 90: 466-490.,NA,NA,0,Nov-Apr. D species. Data for females.,NA,NA,NA,marcoshighquality marcoshighquality,1.9,Amborella trichopoda,NA,1,Accepted,Amborella trichopoda,species,Amborellaceae,Amborella,NA,actinomorphic,actinomorphic,actinomorphic
Anagallis.arvensis(=Lysimachia.arvensis),Primulaceae,1.2,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.2,Lysimachia arvensis,NA,1,Accepted,Lysimachia arvensis,species,Primulaceae,Lysimachia,NA,actinomorphic,actinomorphic,actinomorphic zygomorphic
Anaxagorea.brevipes,Annonaceae,2,NA,0,"Manaus, Manaus (Brazil)",NA,NA,NA,NA,Gottsberger (2016). Acta Bot. Brasil. 30: 313-325.,NA,NA,Thermogenesis,Sep-Dec.,NA,NA,NA,marcoshighquality,2,Anaxagorea brevipes,NA,1,Accepted,Anaxagorea brevipes,species,Annonaceae,Anaxagorea,NA,NA,NA,actinomorphic zygomorphic
Anaxagorea.crassipetala,Annonaceae,1,NA,NA,"OTS field station, La Selva (Costa Rica)",NA,NA,NA,Primary rain forest,Armstrong & Marsh (1997). J. Torrey Bot. Soc. 124: 228-235.,NA,SC Xen,Fleshy petals,NA,NA,NA,Open at dawn,marcoshighquality,1,Anaxagorea crassipetala,NA,1,Accepted,Anaxagorea crassipetala,species,Annonaceae,Anaxagorea,NA,NA,NA,actinomorphic zygomorphic
Anaxagorea.crassipetala,Annonaceae,2,NA,0,"OTS field station, La Selva (Costa Rica)",NA,NA,NA,NA,Gottsberger (2016). Acta Bot. Brasil. 30: 313-325.,NA,SC,NA,Oct-Dec.,NA,NA,NA,marcoshighquality,2,Anaxagorea crassipetala,NA,1,Accepted,Anaxagorea crassipetala,species,Annonaceae,Anaxagorea,NA,NA,NA,actinomorphic zygomorphic
Anaxagorea.dolichocarpa,Annonaceae,2,NA,0,"Usina Sao José, Pernambuco (Brazil)",-7.791666667,-34.99166667,NA,Lowland rain forest,Braun & Gottsberger (2011). Phyton 51: 315-327.,NA,SC Xen,Thermogenesis,All year round.,NA,NA,NA,marcoshighquality,2,Anaxagorea dolichocarpa,NA,1,Accepted,Anaxagorea dolichocarpa,species,Annonaceae,Anaxagorea,NA,NA,NA,actinomorphic zygomorphic
Anaxagorea.dolichocarpa,Annonaceae,2,NA,0,"Usina Sao José, Pernambuco (Brazil)",-7.791666667,-34.99166667,NA,NA,Gottsberger (2016). Acta Bot. Brasil. 30: 313-325.,NA,SC,Thermogenesis,All year round.,NA,NA,NA,marcoshighquality,2,Anaxagorea dolichocarpa,NA,1,Accepted,Anaxagorea dolichocarpa,species,Annonaceae,Anaxagorea,NA,NA,NA,actinomorphic zygomorphic
Anaxagorea.manausensis,Annonaceae,2,NA,0,"Manaus, Manaus (Brazil)",NA,NA,NA,NA,Gottsberger (2016). Acta Bot. Brasil. 30: 313-325.,NA,NA,Thermogenesis,Sep-Dec.,NA,NA,NA,marcoshighquality,2,Anaxagorea manausensis,NA,1,Accepted,Anaxagorea manausensis,species,Annonaceae,Anaxagorea,NA,NA,NA,actinomorphic zygomorphic
Anaxagorea.phaeocarpa,Annonaceae,2,NA,0,"Manaus, Manaus (Brazil)",NA,NA,NA,NA,Gottsberger (2016). Acta Bot. Brasil. 30: 313-325.,NA,SC,Thermogenesis,All year round.,NA,NA,NA,marcoshighquality,2,Anaxagorea phaeocarpa,NA,1,Accepted,Anaxagorea phaeocarpa,species,Annonaceae,Anaxagorea,NA,NA,NA,actinomorphic zygomorphic
Anaxagorea.prinoides,Annonaceae,2,NA,0,Nouragues NR (French Guiana),4.083333333,-52.68333333,NA,Primary rain forest,Gottsberger (2016). Acta Bot. Brasil. 30: 313-325.,NA,NA,NA,Sep-Oct.,NA,NA,NA,marcoshighquality,2,Anaxagorea prinoides,NA,1,Accepted,Anaxagorea prinoides,species,Annonaceae,Anaxagorea,NA,NA,NA,actinomorphic zygomorphic
Anaxagorea.prinoides,Annonaceae,1.083333333,NA,1,Nourages NR (French Guiana) - Morph A,4.083333333,-52.68333333,NA,Primary rain forest,Teichert et al. (2011). Plant Syst. Evol. 291: 25-33.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoshighquality,1.083333333,Anaxagorea prinoides,NA,1,Accepted,Anaxagorea prinoides,species,Annonaceae,Anaxagorea,NA,NA,NA,actinomorphic zygomorphic
Anaxagorea.prinoides,Annonaceae,0.875,NA,1,Nourages NR (French Guiana) - Morph B,NA,NA,NA,NA,Teichert et al. (2011). Plant Syst. Evol. 291: 25-33.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoshighquality,0.875,Anaxagorea prinoides,NA,1,Accepted,Anaxagorea prinoides,species,Annonaceae,Anaxagorea,NA,NA,NA,actinomorphic zygomorphic
Anchusa.undulata,Boraginaceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Anchusa undulata,NA,1,Accepted,Anchusa undulata,species,Boraginaceae,Anchusa,NA,actinomorphic,actinomorphic zygomorphic,actinomorphic zygomorphic
Anchusa.variegata,Boraginaceae,2.5,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2.5,Anchusa variegata,NA,1,Accepted,Anchusa variegata,species,Boraginaceae,Anchusa,NA,actinomorphic zygomorphic,actinomorphic zygomorphic,actinomorphic zygomorphic
Anemone.coronaria,Ranunculaceae,14,NA,1,Daphni (Greece) - purple morph,38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoshighquality marcoscommunity marcoscommunity,14,Anemone coronaria,NA,1,Accepted,Anemone coronaria,species,Ranunculaceae,Anemone,NA,actinomorphic,actinomorphic,actinomorphic zygomorphic
Anemone.coronaria,Ranunculaceae,8.5,NA,1,Daphni (Greece) - red morph,NA,NA,NA,NA,Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoshighquality marcoscommunity marcoscommunity,8.5,Anemone coronaria,NA,1,Accepted,Anemone coronaria,species,Ranunculaceae,Anemone,NA,actinomorphic,actinomorphic,actinomorphic zygomorphic
Anemone.pavonina(=A.hortensis),Ranunculaceae,14.1,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,14.1,Anemone hortensis,NA,1,Accepted,Anemone hortensis,species,Ranunculaceae,Anemone,NA,actinomorphic,actinomorphic,actinomorphic zygomorphic
Annona.crassiflora,Annonaceae,1 or 2,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,NA,0,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.5,Annona crassiflora,NA,1,Accepted,Annona crassiflora,species,Annonaceae,Annona,NA,NA,actinomorphic,actinomorphic zygomorphic
